Run Number, Scale Factor, Execution Name, Seed, Max Degree of Parallelism, Number of Workers, Number of Trials, Number of Main Loop Iterations, Runtime (ms)
0, 2, sequential-main, 1000, 1, 1, 10, 5, 00:08:00.7111968
0, 2, parallel-main, 1000, 1, 1, 10, 5, 00:08:05.2192141
0, 2, parallel-propagate, 1000, 1, 1, 10, 5, 00:07:59.2234787
0, 2, parallel-main, 1000, 1, 2, 10, 5, 00:07:47.8835365
0, 2, parallel-propagate, 1000, 2, 1, 10, 5, 00:07:10.4322600
0, 2, parallel-main, 1000, 1, 4, 10, 5, 00:08:38.0991783
0, 2, parallel-propagate, 1000, 4, 1, 10, 5, 00:10:47.8033785
0, 2, parallel-main, 1000, 1, 8, 10, 5, 00:12:54.9013352
0, 2, parallel-propagate, 1000, 8, 1, 10, 5, 00:10:21.2287113
0, 2, parallel-main, 1000, 1, 16, 10, 5, 00:23:57.9911998
0, 2, parallel-propagate, 1000, 16, 1, 10, 5, 00:19:02.6660913
1, 2, sequential-main, 1000, 1, 1, 10, 5, 00:07:36.3353004
1, 2, parallel-main, 1000, 1, 1, 10, 5, 00:07:25.2619862
1, 2, parallel-propagate, 1000, 1, 1, 10, 5, 00:08:16.6188301
1, 2, parallel-main, 1000, 1, 2, 10, 5, 00:06:59.1106776
1, 2, parallel-propagate, 1000, 2, 1, 10, 5, 00:10:34.7129440
1, 2, parallel-main, 1000, 1, 4, 10, 5, 00:08:24.7159862
1, 2, parallel-propagate, 1000, 4, 1, 10, 5, 00:08:52.3904878
1, 2, parallel-main, 1000, 1, 8, 10, 5, 00:13:29.0412798
1, 2, parallel-propagate, 1000, 8, 1, 10, 5, 00:09:52.0720503
1, 2, parallel-main, 1000, 1, 16, 10, 5, 00:25:03.7807144
1, 2, parallel-propagate, 1000, 16, 1, 10, 5, 00:11:27.2975548
2, 2, sequential-main, 1000, 1, 1, 10, 5, 00:08:11.6600961
2, 2, parallel-main, 1000, 1, 1, 10, 5, 00:08:03.5035970
2, 2, parallel-propagate, 1000, 1, 1, 10, 5, 00:07:42.5787275
2, 2, parallel-main, 1000, 1, 2, 10, 5, 00:07:23.9259213
2, 2, parallel-propagate, 1000, 2, 1, 10, 5, 00:11:47.3716117
2, 2, parallel-main, 1000, 1, 4, 10, 5, 00:08:54.4232244
2, 2, parallel-propagate, 1000, 4, 1, 10, 5, 00:13:37.1665124
2, 2, parallel-main, 1000, 1, 8, 10, 5, 00:12:08.5587746
2, 2, parallel-propagate, 1000, 8, 1, 10, 5, 00:08:13.3778657
2, 2, parallel-main, 1000, 1, 16, 10, 5, 00:25:12.1885176
2, 2, parallel-propagate, 1000, 16, 1, 10, 5, 00:15:38.3150069
3, 2, sequential-main, 1000, 1, 1, 10, 5, 00:07:43.3743793
3, 2, parallel-main, 1000, 1, 1, 10, 5, 00:08:02.1493666
3, 2, parallel-propagate, 1000, 1, 1, 10, 5, 00:08:06.1240104
3, 2, parallel-main, 1000, 1, 2, 10, 5, 00:07:17.0338019
3, 2, parallel-propagate, 1000, 2, 1, 10, 5, 00:20:00.1740300
3, 2, parallel-main, 1000, 1, 4, 10, 5, 00:09:09.0854599
3, 2, parallel-propagate, 1000, 4, 1, 10, 5, 00:23:31.8186868
3, 2, parallel-main, 1000, 1, 8, 10, 5, 00:13:17.8373745
3, 2, parallel-propagate, 1000, 8, 1, 10, 5, 00:09:01.2526357
3, 2, parallel-main, 1000, 1, 16, 10, 5, 00:26:21.0975186
3, 2, parallel-propagate, 1000, 16, 1, 10, 5, 00:10:47.4568986
4, 2, sequential-main, 1000, 1, 1, 10, 5, 00:07:26.3460845
4, 2, parallel-main, 1000, 1, 1, 10, 5, 00:08:36.6620786
4, 2, parallel-propagate, 1000, 1, 1, 10, 5, 00:07:24.3173569
4, 2, parallel-main, 1000, 1, 2, 10, 5, 00:07:34.0021332
4, 2, parallel-propagate, 1000, 2, 1, 10, 5, 00:13:59.7440657
4, 2, parallel-main, 1000, 1, 4, 10, 5, 00:08:41.5683297
4, 2, parallel-propagate, 1000, 4, 1, 10, 5, 00:12:46.8742626
4, 2, parallel-main, 1000, 1, 8, 10, 5, 00:12:30.1939429
4, 2, parallel-propagate, 1000, 8, 1, 10, 5, 00:09:13.4108585
4, 2, parallel-main, 1000, 1, 16, 10, 5, 00:23:54.0150228
4, 2, parallel-propagate, 1000, 16, 1, 10, 5, 00:14:26.0532559
