 , ,Wall-clock time to result, , Time in search, , Time in propagation phase, , Time in observation phase
Strategy, Degree of Parallelism, Mean (ms), Stdev (ms), Mean (ms), Stdev (ms), Mean (ms), Stdev (ms), Mean (ms), Stdev (ms)
parallel-propagate, 1, 11088.8244939394, 10783.9547854226, 10992.9235636364, 10770.8177196208, 4999.07601212121, 5858.83972664726, 4806.08790606061, 3982.73725091008
parallel-main, 1, 10453.7610878788, 10277.3342844038, 10360.2467363636, 10270.201458354, 4941.05763636364, 5745.65022152215, 4747.97837575758, 3939.16117988557
sequential-main, 1, 10500.1819878788, 10421.8558778327, 10406.0900242424, 10414.5165546807, 4945.10822424242, 5841.85152232445, 4788.70723333333, 3972.10043595755
parallel-propagate, 2, 10714.7806787879, 9804.51165139266, 10621.3626666667, 9793.41938504253, 4697.90614545455, 5000.70375119705, 5500.24667575758, 4576.39764746665
parallel-main, 2, 12466.87, 12750.2932793051, 20457.7679151515, 14124.1493256199, 9732.29346363636, 7987.6094365036, 9335.78448484849, 5552.90207946167
parallel-propagate, 4, 9993.58000909091, 7301.19104323669, 9900.82297878788, 7286.01054429649, 4408.69894242424, 3615.83989431085, 5244.7200969697, 3599.09848757256
parallel-main, 4, 17584.3222515152, 17338.1637085494, 46588.7704363636, 25693.3753685242, 22108.2836454545, 14847.8081838331, 21225.9445939394, 10143.1014018139
parallel-propagate, 8, 8813.00573030303, 4790.10196692505, 8719.30949393939, 4759.05902084768, 3592.22865757576, 1922.71190623495, 4925.30298484849, 2855.37813472885
parallel-main, 8, 22985.6257454545, 18182.9396933273, 119507.022715152, 49757.6976029683, 53791.5048030303, 24088.7916717568, 57533.7274969697, 26766.6799160256
