 , , ,Wall-clock time to result, , Time in search, , , Time in propagation phase, , , Time in observation phase
Strategy, Degree of Parallelism, Number of Trials, Mean (ms), Stdev (ms), Mean (ms), Time per Thread (ms), Stdev (ms),  Mean (ms), Time per Thread (ms), Stdev (ms), Mean (ms), Time per Thread (ms), Stdev (ms)
sequential-main, 1, 50, 8798.80459346405, 3784.86013557659, 8704.80668954248, , 3756.95117742461, 3938.09320130719, , 1502.8079847965, 4215.57138823529, , 2292.39715609803
parallel-main, 1, 50, 8801.53790326797, 3780.42308340677, 8705.07017124183, 8705.07017124183, 3749.9829239385, 3932.85835816993, 3932.85835816993, 1491.73395661743, 4220.80792156863, 4220.80792156863, 2298.39475991287
parallel-main, 2, 50, 8012.12303267974, 3484.55575282083, 15814.9256013072, 7907.4628006536, 6904.18574597645, 7165.08591176471, 3582.54295588235, 2749.13607549774, 7515.15218431373, 3757.57609215686, 4140.49175391507
parallel-main, 4, 50, 8592.74743006536, 3825.05818562114, 33806.9124666667, 8451.72811666667, 15129.2883982196, 15222.8443522876, 3805.7110880719, 6042.18864363014, 15991.5745732026, 3997.89364330065, 9004.78870100244
parallel-main, 8, 50, 11016.416148366, 5308.18086710669, 86158.5931764706, 10769.8241470588, 42008.7029869836, 37795.1276993464, 4724.3909624183, 16057.2571614164, 41054.074254902, 5131.75928186275, 25609.5513423919
parallel-propagate, 1, 50, 8778.68966732026, 3747.46407342534, 8682.8622620915, , 3719.25647395953, 3929.00572614379, , 1480.0563797328, 4200.9047124183, , 2279.8810500949
parallel-propagate, 2, 50, 8802.30117189543, 3797.98991041921, 8694.04703594771, , 3748.4721955544, 3933.50157124183, , 1495.9815138788, 4208.58355359477, , 2290.17962971641
parallel-propagate, 4, 50, 8789.50945359477, 3777.9663785468, 8696.87379803922, , 3750.97331351409, 3934.53595424837, , 1491.18531118215, 4210.25883464052, , 2291.63695603766
parallel-propagate, 8, 50, 8787.15946535948, 3765.59723802934, 8694.27662156863, , 3738.72870334858, 3934.00836339869, , 1489.37586828494, 4209.41599673203, , 2290.76348147289
